earthquake_id,title,magnitude,depth,latitude,longitude,Year,date_time,cdi,mmi,tsunami,sig,dmin,gap,nst,magType
1,"M 6.5 - 42 km W of Sola, Vanuatu",6.5,192.96,-13.8814,167.158,2023,8/16/2023 12:47,7,4,0,657,7.177,25,114,mww
2,"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,69.73,12.814,-88.1265,2023,7/19/2023 0:22,8,6,0,775,0.679,40,92,mww
3,"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,171.37,-38.1911,-70.3731,2023,7/17/2023 3:05,7,5,0,899,1.634,28,70,mww
4,"M 7.2 - 98 km S of Sand Point, Alaska",7.2,32.57,54.3844,-160.699,2023,7/16/2023 6:48,6,6,1,860,0.907,36,173,mww
5,M 7.3 - Alaska Peninsula,7.3,21.00,54.49,-160.796,2023,7/16/2023 6:48,0,5,1,820,0.879451,172.8,79,Mi
6,"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,10.00,20.0196,-61.0955,2023,7/10/2023 20:28,5,4,1,802,2.454,37,95,mww
7,M 6.9 - Tonga,6.9,229.00,-17.853,-174.937,2023,7/2/2023 10:27,4,4,1,741,1.179,23,136,mww
8,M 7.2 - south of the Fiji Islands,7.2,167.40,-22.9824,-177.208,2023,6/15/2023 18:06,8,6,1,804,2.59,24,85,mww
9,M 6.6 - Panama-Colombia border region,6.6,10.00,8.8894,-77.1231,2023,5/25/2023 3:05,6,6,1,733,2.163,129,50,mww
10,M 7.1 - southeast of the Loyalty Islands,7.1,35.98,-23.0622,170.456,2023,5/20/2023 1:51,3,4,1,777,2.812,56,98,mww
11,M 7.7 - southeast of the Loyalty Islands,7.7,18.03,-23.2286,170.694,2023,5/19/2023 2:57,5,4,1,927,3.111,15,277,mww
12,"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,210.10,-15.6002,-174.608,2023,5/10/2023 16:02,8,6,1,907,3.631,17,111,mww
13,M 6.6 - south of the Fiji Islands,6.6,598.47,-25.2657,178.424,2023,4/28/2023 3:13,0,2,0,670,5.123,50,52,mww
14,"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,15.46,-0.781,98.5339,2023,4/24/2023 20:00,9,7,0,838,2.282,58,70,mww
15,"M 7.1 - Kermadec Islands, New Zealand",7.1,43.06,-30.0249,-177.897,2023,4/24/2023 0:41,8,7,1,777,0.708,23,126,mww
16,M 6.7 - south of the Fiji Islands,6.7,595.85,-22.2844,179.391,2023,4/18/2023 4:31,0,3,1,691,4.719,10,166,mww
17,"M 7.0 - 96 km N of Tuban, Indonesia",7.0,594.03,-6.0255,112.033,2023,4/14/2023 9:55,5,3,0,818,1.881,31,131,mww
18,"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,105.63,52.7772,158.484,2023,4/3/2023 3:06,7,6,1,655,0.266,30,104,mww
19,"M 7.0 - New Guinea, Papua New Guinea",7.0,62.60,-4.2924,143.155,2023,4/2/2023 18:04,7,7,1,781,6.45,31,105,mww
20,"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,209.98,-23.4797,-66.5108,2023,3/22/2023 16:00,4,4,0,656,1.622,33,97,mww
21,"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,187.59,36.5227,70.9787,2023,3/21/2023 16:47,7,5,0,1350,2.53,13,134,mww
22,M 6.8 - near the coast of Ecuador,6.8,65.84,-2.851,-79.8001,2023,3/18/2023 17:12,9,7,1,1159,0.709,28,152,mww
23,M 7.0 - Kermadec Islands region,7.0,22.07,-30.1147,-176.112,2023,3/16/2023 0:56,8,5,1,756,1.789,22,116,mww
24,"M 6.9 - Kermadec Islands, New Zealand",6.9,205.68,-29.4748,-178.787,2023,3/4/2023 6:41,5,5,1,735,0.784,18,108,mww
25,"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,10.00,-15.3597,166.385,2023,3/2/2023 18:04,7,6,1,653,5.483,45,66,mww
26,"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,598.93,-4.8138,149.487,2023,3/1/2023 5:36,4,2,1,652,2.739,20,115,mww
27,"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,20.52,38.0726,73.2077,2023,2/23/2023 0:37,9,7,0,737,1.783,20,128,mww
28,"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,10.00,38.0235,37.203,2023,2/6/2023 10:24,9,9,0,1411,0.85,17,135,mww
29,"M 6.7 - 18 km ESE of Nurda??, Turkey",6.7,14.50,37.4135,36.8306,2023,2/6/2023 1:28,9,8,0,800,0.218,44,108,mww
30,M 7.8 - Central Turkey,7.8,17.93,37.2012,36.9997,2023,2/6/2023 1:17,9,9,0,2910,1.919,32,118,mww
31,M 6.8 -,6.8,610.67,-26.7209,-63.0394,2023,1/20/2023 22:09,4,3,0,718,5.129,61,60,mww
32,"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,28.57,2.7401,127.051,2023,1/18/2023 6:06,3,5,1,756,1.974,17,130,mwc
33,"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,105.25,-7.0852,130.039,2023,1/9/2023 17:47,5,7,0,957,1.575,21,114,mww
34,M 7.0 - Vanuatu,7.0,29.00,-14.9383,166.878,2023,1/8/2023 12:32,8,7,1,768,6.096,36,116,mww
35,"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,38.00,-15.3983,-172.968,2022,12/4/2022 19:24,5,5,1,720,2.587,26,152,mww
36,"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,14.00,-9.7963,159.596,2022,11/22/2022 2:03,8,7,1,768,0.509,17,117,mww
37,"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,25.00,-4.9559,100.738,2022,11/18/2022 13:37,4,4,0,735,2.229,34,99,mww
38,M 7.0 -,7.0,579.00,-20.0508,-178.346,2022,11/12/2022 7:09,3,3,1,755,3.125,18,147,mww
39,"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,37.00,-19.2918,-172.129,2022,11/11/2022 10:48,5,5,1,833,1.865,21,149,mww
40,M 6.6 -,6.6,624.46,-25.5948,178.278,2022,11/9/2022 10:14,0,2,1,670,4.998,27,131,mww
41,M 7.0 - south of the Fiji Islands,7.0,660.00,-26.0442,178.381,2022,11/9/2022 9:51,4,3,1,755,4.578,26,142,mwb
42,M 6.8 - south of the Fiji Islands,6.8,630.38,-25.9678,178.363,2022,11/9/2022 9:38,1,3,1,711,4.678,22,136,mww
43,"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20.00,7.6712,-82.3396,2022,10/20/2022 11:57,7,6,1,797,1.151,37,145,mww
44,"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,20.00,18.33,-102.913,2022,9/22/2022 6:16,8,7,1,1179,2.137,92,175,mww
45,"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,26.94,18.3667,-103.252,2022,9/19/2022 18:05,9,8,1,1799,1.153,69,271,mww
46,"M 6.9 - 90 km E of Yujing, Taiwan",6.9,10.00,23.1444,121.307,2022,9/18/2022 6:44,9,9,1,887,0.401,34,215,mww
47,"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,10.00,23.029,121.348,2022,9/17/2022 13:41,7,7,1,756,0.43,54,178,mww
48,"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,137.00,-21.2077,170.239,2022,9/14/2022 11:04,7,5,1,761,2.977,45,192,mww
49,"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,116.00,-6.2237,146.471,2022,9/10/2022 23:47,8,8,1,965,3.158,12,272,mww
50,"M 6.6 - 44 km SE of Kangding, China",6.6,12.00,29.7263,102.279,2022,9/5/2022 4:52,9,8,0,1043,8.454,34,141,mww
51,M 6.6 - south of the Kermadec Islands,6.6,30.00,-32.6922,-178.959,2022,8/14/2022 13:44,7,6,1,672,5.293,34,68,mww
52,"M 7.0 - 11 km NE of Bantay, Philippines",7.0,33.73,17.5978,120.809,2022,7/27/2022 0:43,9,8,1,1351,5.276,22,152,mww
